load_center_id,province_code,province_name_en,province_name_zh,city_name_zh,source_city_code,lon,lat,annual_demand_share_in_province,annual_city_power_mwh,electricity_weight_method,center_method,load_center_method,demand_share_source,scenario_status,annual_city_power_share_in_province,monthly_weight_mean,city_area_km2,county_count,urban_population,total_population,electricity_weight_year,population_source_note,substation_count_220kv_plus,voltage_weighted_substation_units,maximum_substation_voltage_kv,substations_per_10000_km2,voltage_weighted_units_per_10000_km2,substation_count_share_in_province,voltage_weight_share_in_province,substation_density_role
LC_156150700,15,Inner Mongolia,内蒙古,呼伦贝尔,156150700,120.85405789401491,49.26996502521311,0.0394217128210847,154.41101646299592,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0394217128210847,0.0442362134126029,252781.44463645056,14,1656914.0,2242875.0,2022,county urban population field; source year follows local population shapefile metadata,45.0,56.45454545454545,500.0,1.7801939562739209,2.233334236052737,0.0605652759084791,0.0630520865062442,validation_and_sensitivity_only_not_primary_load_weight
LC_156150800,15,Inner Mongolia,内蒙古,巴彦淖尔,156150800,107.68949925495794,40.98916732486706,0.0343919012009855,134.70973335533986,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0343919012009855,0.0386260555206225,65132.86364242669,7,922952.0,1538715.0,2022,county urban population field; source year follows local population shapefile metadata,57.0,63.36363636363637,500.0,8.751342534687966,9.728366422133194,0.0767160161507402,0.0707686059498426,validation_and_sensitivity_only_not_primary_load_weight
LC_156150900,15,Inner Mongolia,内蒙古,乌兰察布,156150900,113.1097460129154,41.15430314551406,0.1518298431529103,594.7027344311372,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1518298431529103,0.1708651265562216,54414.823229902206,11,1018617.0,1706328.0,2022,county urban population field; source year follows local population shapefile metadata,86.0,98.72727272727272,500.0,15.804517022255254,18.143451888128126,0.1157469717362045,0.1102650015229972,validation_and_sensitivity_only_not_primary_load_weight
LC_156152200,15,Inner Mongolia,内蒙古,兴安,156152200,121.905161215619,46.09347388689226,0.0480339335353835,188.1442477037067,imputed_province_power_per_urban_population,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0480339335353835,,55156.81752664628,6,754183.0,1416929.0,2022,county urban population field; source year follows local population shapefile metadata,40.0,48.909090909090914,500.0,7.252050026395375,8.867279350456164,0.053835800807537,0.0546248350086303,validation_and_sensitivity_only_not_primary_load_weight
LC_156152500,15,Inner Mongolia,内蒙古,锡林郭勒,156152500,115.5689647344176,43.64909606388234,0.0507626052429882,198.83218949551303,imputed_province_power_per_urban_population,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0507626052429882,,199916.9800891941,12,797026.0,1083609.0,2022,county urban population field; source year follows local population shapefile metadata,95.0,135.72727272727272,1000.0,4.751972541682813,6.789181822710468,0.1278600269179004,0.1515889938064778,validation_and_sensitivity_only_not_primary_load_weight
LC_156152900,15,Inner Mongolia,内蒙古,阿拉善,156152900,104.0123516177112,39.91072773123968,0.0121379174355644,47.5430425226729,imputed_province_power_per_urban_population,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0121379174355644,,239441.3542649932,3,190578.0,235147.0,2022,county urban population field; source year follows local population shapefile metadata,25.0,27.545454545454547,500.0,1.044097001403197,1.150405059727886,0.0336473755047106,0.0307645446238196,validation_and_sensitivity_only_not_primary_load_weight
LC_156210100,21,Liaoning,辽宁,沈阳,156210100,123.35410161299058,41.82549325358829,0.1841593284778153,410.9047362422268,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1841593284778153,0.184067051196528,12876.949773932443,13,7665638.0,9070093.0,2022,county urban population field; source year follows local population shapefile metadata,23.0,30.63636363636364,500.0,17.86137276590162,23.79163091742627,0.0851851851851851,0.0977945443993035,validation_and_sensitivity_only_not_primary_load_weight
LC_156210200,21,Liaoning,辽宁,大连,156210200,121.75005018554734,39.13867630792671,0.1972786568654609,440.17718317911954,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.1972786568654609,0.1972953900876248,13314.764600786531,10,6135727.0,7450785.0,2022,county urban population field; source year follows local population shapefile metadata,41.0,49.909090909090914,500.0,30.79288386185816,37.48402048815994,0.1518518518518518,0.1593151479976784,validation_and_sensitivity_only_not_primary_load_weight
LC_156210300,21,Liaoning,辽宁,鞍山,156210300,122.9523177875926,40.98335739993917,0.0834370660571258,186.1686068493601,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0834370660571258,0.083446491179845,9250.528432307929,7,2479691.0,3325372.0,2022,county urban population field; source year follows local population shapefile metadata,21.0,24.81818181818182,500.0,22.701405820943656,26.828934152024324,0.0777777777777777,0.079222286709228,validation_and_sensitivity_only_not_primary_load_weight
LC_156210400,21,Liaoning,辽宁,抚顺,156210400,124.06179011809262,41.87224462041748,0.0839221806871898,187.2510168514018,observed_2022_city_table,urban_population_weighted_county_centroids,city_337_urban_population_weighted_centroid,2022_city_electricity; 296_observed_41_imputed_by_province_power_per_urban_population,production_default_city_337,0.0839221806871898,0.0839341129300974,11257.074695700125,7,1457326.0,1861372.0,2022,county urban population field; source year follows local population shapefile metadata,11.0,11.0,220.0,9.771632770813612,9.771632770813612,0.0407407407407407,0.0351131746952988,validation_and_sensitivity_only_not_primary_load_weight
