load_center_id,connected_substation_count,active_substation_count,connected_vre_nameplate_gw,existing_dpv_local_gw,simultaneous_nameplate_interface_capacity_gw,province_code,province_name_en,province_name_zh,city_name_zh,lon,lat,annual_demand_share_in_province,initial_capacity_method
LC_156411500,23.0,9.0,1.251393097,0.0330158049999999,1.251393097,41,Henan,河南,信阳,114.77899883753136,32.1349839641952,0.0496392718807641,simultaneous_2025_nameplate_stress_city337_route
LC_156411600,10.0,4.0,1.239388881,1.3336410529999998,1.239388881,41,Henan,河南,周口,114.885204379792,33.66632243939365,0.0476463471956556,simultaneous_2025_nameplate_stress_city337_route
LC_156411700,26.0,10.0,1.484702016,0.7368446749999998,1.484702016,41,Henan,河南,驻马店,114.16382755924651,32.97699986531894,0.047662928295992,simultaneous_2025_nameplate_stress_city337_route
LC_156420100,54.0,7.0,1.57160325,0.5727343229999999,1.57160325,42,Hubei,湖北,武汉,114.31440620829392,30.57920855580496,0.1804894654735028,simultaneous_2025_nameplate_stress_city337_route
LC_156420200,15.0,3.0,3.428508828,0.5610307309999999,3.428508828,42,Hubei,湖北,黄石,114.9998351540349,30.066797246659817,0.0743463376253461,simultaneous_2025_nameplate_stress_city337_route
LC_156420300,3.0,2.0,0.20700000000000002,0.24022994699999967,0.20700000000000002,42,Hubei,湖北,十堰,110.62123203065856,32.538610641689544,0.056063635251701,simultaneous_2025_nameplate_stress_city337_route
LC_156420500,26.0,7.0,0.9741254119999998,0.089506537,0.9741254119999998,42,Hubei,湖北,宜昌,111.3310113788688,30.704974841439025,0.0924014357768024,simultaneous_2025_nameplate_stress_city337_route
LC_156420600,19.0,6.0,4.509194151,0.8959713459999998,4.509194151,42,Hubei,湖北,襄阳,112.07464434538302,32.05405568642085,0.0774124068592236,simultaneous_2025_nameplate_stress_city337_route
LC_156420700,19.0,4.0,0.9722289550000001,0.1165758049999999,0.9722289550000001,42,Hubei,湖北,鄂州,114.84036421006772,30.346478067511395,0.0623409662248123,simultaneous_2025_nameplate_stress_city337_route
LC_156420800,14.0,7.0,4.056688101,0.09043140699999999,4.056688101,42,Hubei,湖北,荆门,112.47374175555122,31.04833365354147,0.0691206148906186,simultaneous_2025_nameplate_stress_city337_route
LC_156420900,27.0,8.0,5.305976728,2.2783971469999997,5.305976728,42,Hubei,湖北,孝感,113.84306560666634,30.99868416653289,0.0648166006638306,simultaneous_2025_nameplate_stress_city337_route
LC_156421000,20.0,7.0,3.669915822,1.684254269,3.669915822,42,Hubei,湖北,荆州,112.47897159093732,30.084410160458138,0.0807086459700635,simultaneous_2025_nameplate_stress_city337_route
LC_156421100,5.0,3.0,3.3816152510000004,7.315113423,3.3816152510000004,42,Hubei,湖北,黄冈,115.33170112384413,30.58806076430588,0.076305473634283,simultaneous_2025_nameplate_stress_city337_route
LC_156421200,14.0,5.0,1.722,0.0,1.722,42,Hubei,湖北,咸宁,114.14928645880838,29.67343061344581,0.0657184035750396,simultaneous_2025_nameplate_stress_city337_route
LC_156421300,12.0,8.0,4.619758106999999,10.51529717,4.619758106999999,42,Hubei,湖北,随州,113.51166056508916,31.72046560486337,0.0534612447598813,simultaneous_2025_nameplate_stress_city337_route
LC_156422800,4.0,1.0,0.969354367,0.0022031999999999,0.969354367,42,Hubei,湖北,恩施土家族苗族,109.45117470536216,30.2044207831269,0.0468147692948948,simultaneous_2025_nameplate_stress_city337_route
LC_156430100,10.0,6.0,0.245,0.026976512,0.245,43,Hunan,湖南,长沙,113.0119557935809,28.196568413031816,0.1821991718862582,simultaneous_2025_nameplate_stress_city337_route
LC_156430200,7.0,5.0,0.33640824700000005,0.000599092,0.33640824700000005,43,Hunan,湖南,株洲,113.3318344442936,27.53702927219435,0.0734014314868105,simultaneous_2025_nameplate_stress_city337_route
LC_156430300,14.0,5.0,0.6314730599999999,0.0,0.6314730599999999,43,Hunan,湖南,湘潭,112.73209257911206,27.80766261102656,0.0648128463866494,simultaneous_2025_nameplate_stress_city337_route
LC_156430400,16.0,9.0,1.124110263,0.0,1.124110263,43,Hunan,湖南,衡阳,112.57373596043034,26.79179344369126,0.0787287041882795,simultaneous_2025_nameplate_stress_city337_route
LC_156430500,9.0,6.0,1.794797129,0.000183582,1.794797129,43,Hunan,湖南,邵阳,111.19397187927676,27.08063213891574,0.0727758795102163,simultaneous_2025_nameplate_stress_city337_route
LC_156430600,15.0,7.0,1.5846372020000001,11.070283519,1.5846372020000001,43,Hunan,湖南,岳阳,113.20248067139488,29.155796687011534,0.1013908273005324,simultaneous_2025_nameplate_stress_city337_route
LC_156430700,11.0,5.0,1.10650336,0.215332624,1.10650336,43,Hunan,湖南,常德,111.669113644337,29.246424865434456,0.0863532828086922,simultaneous_2025_nameplate_stress_city337_route
LC_156430800,1.0,1.0,0.094293769,0.0,0.094293769,43,Hunan,湖南,张家界,110.55959818510092,29.314279061872487,0.0322147454711087,simultaneous_2025_nameplate_stress_city337_route
LC_156430900,6.0,3.0,1.4527020160000002,0.0,1.4527020160000002,43,Hunan,湖南,益阳,112.18664827548832,28.64514808452993,0.067062391697862,simultaneous_2025_nameplate_stress_city337_route
LC_156431000,12.0,7.0,2.7402120969999992,0.050631511,2.7402120969999992,43,Hunan,湖南,郴州,112.99533764471794,25.7822058055701,0.0658278168226586,simultaneous_2025_nameplate_stress_city337_route
LC_156431100,32.0,11.0,6.261504662999999,1.728180747,6.261504662999999,43,Hunan,湖南,永州,111.75389374320272,25.9275967656045,0.053457523528394,simultaneous_2025_nameplate_stress_city337_route
LC_156431200,6.0,3.0,1.615533659,0.001145474,1.615533659,43,Hunan,湖南,怀化,110.00885074371156,27.549241527197527,0.0568118887456133,simultaneous_2025_nameplate_stress_city337_route
LC_156431300,6.0,3.0,4.7333737320000004,0.0,4.7333737320000004,43,Hunan,湖南,娄底,111.7617498673525,27.708823382941716,0.0318618573605658,simultaneous_2025_nameplate_stress_city337_route
LC_156433100,4.0,2.0,0.251,0.000103787,0.251,43,Hunan,湖南,湘西土家族苗族,109.70173937569608,28.599835826665544,0.0331016328063584,simultaneous_2025_nameplate_stress_city337_route
LC_156440100,74.0,7.0,3.2979999999999996,0.021099701,3.2979999999999996,44,Guangdong,广东,广州,113.37749802570328,23.17509702968502,0.0629788239819861,simultaneous_2025_nameplate_stress_city337_route
LC_156440200,25.0,10.0,2.643453695,0.19115325099999989,2.643453695,44,Guangdong,广东,韶关,113.66380489878856,24.82884326278727,0.0619448652383496,simultaneous_2025_nameplate_stress_city337_route
LC_156440300,75.0,5.0,0.164056473,0.1680593199999999,0.164056473,44,Guangdong,广东,深圳,114.06178938885184,22.64778440005679,0.1138400116421832,simultaneous_2025_nameplate_stress_city337_route
LC_156440400,27.0,4.0,0.800693909,1.064677186,0.800693909,44,Guangdong,广东,珠海,113.46865312325012,22.187752249642884,0.046715000927326,simultaneous_2025_nameplate_stress_city337_route
