intra_edge_id,province_code,from_load_center_id,to_load_center_id,distance_km,technology,reference_capacity_gw,unit_cost_yuan_per_kw,initial_capacity_gw,candidate_method,distance_validity,initial_capacity_method
INTRA_14_LC_156141000_LC_156141100,14,LC_156141000,LC_156141100,152.52921169262405,AC_500kV,2.711873000139212,307.4867170578624,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150100_LC_156150200,15,LC_156150100,LC_156150200,149.33148015929115,AC_500kV,2.727685133485526,303.53101744803,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150100_LC_156150600,15,LC_156150100,LC_156150600,221.18618922423192,AC_500kV,2.4028689772408236,402.01430709821375,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150100_LC_156150900,15,LC_156150100,LC_156150900,122.68910507275994,AC_500kV,2.8647836302663223,272.06237370602935,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150100_LC_156152500,15,LC_156150100,LC_156152500,448.13118253731744,AC_500kV,1.7037384118734284,853.394346957066,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150200_LC_156150600,15,LC_156150200,LC_156150600,119.74220233455371,AC_500kV,2.8805529528436478,268.7426151639228,6.409036240986557,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150200_LC_156150800,15,LC_156150200,LC_156150800,193.79872816891074,AC_500kV,2.519417428557752,362.07418555043006,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150200_LC_156150900,15,LC_156150200,LC_156150900,269.3257719575281,AC_500kV,2.217486862088016,479.64227758191447,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150300_LC_156150600,15,LC_156150300,LC_156150600,236.884101197651,AC_500kV,2.3397927025419305,426.27753551944915,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150300_LC_156150800,15,LC_156150300,LC_156150800,172.8180391339319,AC_500kV,2.6146202842050017,333.49555718271495,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150300_LC_156152900,15,LC_156150300,LC_156152900,243.01539773710977,AC_500kV,2.3158622283009977,436.0288500696531,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150400_LC_156150500,15,LC_156150400,LC_156150500,255.1654957497945,AC_500kV,2.2695770500463186,455.8116498912031,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150400_LC_156152200,15,LC_156150400,LC_156152200,451.2653547419587,AC_500kV,1.6967333728954326,861.1377404074858,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150400_LC_156152500,15,LC_156150400,LC_156152500,296.80469118207145,AC_500kV,2.1218284502115683,528.2873401912107,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150500_LC_156150700,15,LC_156150500,LC_156150700,606.6815259427981,AC_500kV,1.4133591171769173,1292.214629618087,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150500_LC_156152200,15,LC_156150500,LC_156152200,251.5866922388468,AC_500kV,2.2830553761594032,449.9210501183138,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150500_LC_156152500,15,LC_156150500,LC_156152500,486.78340083951116,AC_500kV,1.6212955597958274,951.6427544020077,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150600_LC_156150800,15,LC_156150600,LC_156150800,218.40574721740182,AC_500kV,2.414318095440813,397.8215429204515,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150600_LC_156150900,15,LC_156150600,LC_156150900,341.40644552534997,AC_500kV,1.9806941097378208,614.0490718156517,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150600_LC_156152900,15,LC_156150600,LC_156152900,477.047605949045,AC_500kV,1.641270357467163,926.3359078080322,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150700_LC_156152200,15,LC_156150700,LC_156152200,361.8587497538369,AC_500kV,1.921363742995934,656.2026264326937,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150700_LC_156152500,15,LC_156150700,LC_156152500,744.2443486208712,AC_500kV,1.2436875827706448,1738.8220610854487,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150800_LC_156152900,15,LC_156150800,LC_156152900,333.42109944913227,AC_500kV,2.0047485727354624,598.0733653670297,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
INTRA_15_LC_156150900_LC_156152500,15,LC_156150900,LC_156152500,343.0813946166243,AC_500kV,1.97571306528233,617.4344243623547,0.0,within_province_mst_plus_3_nearest_neighbours_geodesic,within_AC500_source_range,2025_simultaneous_wind_solar_hydro_nameplate_spatial_balance_proxy; thermal_nuclear_biomass_allocated_by_city_demand_share
